pc,opcode
0,1
1,3
2,1
3,3
4,1
5,3
6,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
35,8
7,2
8,3
9,2
10,1
11,5
12,3
13,2
14,6
16,2
17,3
18,2
19,3
20,2
21,2
22,4
23,3
24,2
25,3
26,8
27,2
28,3
29,2
30,1
31,4
32,3
33,2
34,3
